City;Country;Category;Category 2;CO2;Distance (km);Flight time (min);Budget;Month;Average Temp;Sun hours per day;Rain probability
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Jan;9.8;5;0.133333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Feb;10.3;6;0.133333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Mar;12.3;6.5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Apr;14.5;7.5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;May;17.9;8;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Jun;21.7;8.5;0.133333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Jul;24.5;10;0.066666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Aug;25.1;9;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Sep;22;7.5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Oct;18.3;6;0.233333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Nov;13.5;5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Dec;10.5;4.5;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Jan;9.6;5;0.2
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Feb;9.8;6;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Mar;11.9;7;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Apr;14.1;7.5;0.233333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;May;17.8;8.5;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Jun;21.4;10;0.133333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Jul;24.2;11;0.066666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Aug;24.5;10;0.066666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Sep;21.2;8;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Oct;17.5;6;0.233333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Nov;13.4;4;0.233333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Dec;10.4;4.5;0.2
Faro;PT;Beach;Party;0.66;1780;170;Low;Jan;12.3;6;0.233333333
Faro;PT;Beach;Party;0.66;1780;170;Low;Feb;12.9;6;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Mar;14.8;8;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Apr;16.4;8.5;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;May;19.1;10;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Jun;22.1;11;0.033333333
Faro;PT;Beach;Party;0.66;1780;170;Low;Jul;24.4;11.5;0
Faro;PT;Beach;Party;0.66;1780;170;Low;Aug;24.4;11;0
Faro;PT;Beach;Party;0.66;1780;170;Low;Sep;22.3;9.5;0.066666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Oct;19.5;7.5;0.2
Faro;PT;Beach;Party;0.66;1780;170;Low;Nov;15.7;6.5;0.2
Faro;PT;Beach;Party;0.66;1780;170;Low;Dec;13.4;5;0.266666667
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Jan;4.6;2;0.333333333
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Feb;5.2;3;0.3
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Mar;8.3;4;0.333333333
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Apr;11.3;5.5;0.3
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;May;14.9;6.5;0.333333333
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Jun;18.2;6.5;0.3
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Jul;20.5;7;0.266666667
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Aug;20.2;7;0.233333333
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Sep;16.5;5.5;0.266666667
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Oct;12.4;4;0.3
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Nov;7.9;2.5;0.333333333
Paris;FR;Sightseeing;Sightseeing;0.29;490;85;Medium;Dec;5.2;1.5;0.366666667
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Jan;3.7;2.5;0.4
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Feb;4;3.5;0.333333333
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Mar;6.4;4.5;0.333333333
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Apr;9.7;6.5;0.3
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;May;13.2;7.5;0.3
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Jun;15.8;7;0.333333333
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Jul;18;7.5;0.366666667
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Aug;17.8;6.5;0.4
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Sep;15.1;5;0.366666667
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Oct;11.2;4;0.4
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Nov;7.2;2;0.433333333
Amsterdam;NL;Sightseeing;Party;0.32;610;100;Low;Dec;4.4;2;0.466666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Jan;5.6;2;0.4
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Feb;5.9;3;0.333333333
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Mar;8;4;0.266666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Apr;10.6;6;0.3
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;May;13.8;6.5;0.266666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Jun;16.8;7;0.266666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Jul;19;7;0.266666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Aug;18.7;6.5;0.266666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Sep;15.9;5;0.266666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Oct;12.2;3.5;0.366666667
London;UK;Sightseeing;Sightseeing;0.37;780;110;High;Nov;8.4;2.5;0.366666667
London;UK;Sightseeing;Sightseeing;0.37;1400;110;High;Dec;6;2;0.366666667
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Jan;-2.3;1.5;0.333333333
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Feb;-1.8;3;0.266666667
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Mar;1.6;4.5;0.233333333
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Apr;6.5;6;0.266666667
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;May;11.7;8;0.3
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Jun;15.6;8;0.333333333
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Jul;18;8;0.366666667
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Aug;16.9;6.5;0.366666667
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Sep;12.5;5;0.3
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Oct;6.7;3;0.333333333
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Nov;2.2;2;0.366666667
Oslo;NO;Outdoor;Sightseeing;0.54;1400;135;High;Dec;-1.4;1.5;0.333333333
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Jan;0.6;0.5;0.5
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Feb;0.5;2;0.5
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Mar;1.2;3.5;0.466666667
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Apr;3.9;5.5;0.366666667
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;May;6.9;6.5;0.333333333
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Jun;10.1;6;0.3
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Jul;12;5.5;0.333333333
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Aug;11.4;5;0.4
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Sep;8.8;4;0.5
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Oct;5;3;0.433333333
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Nov;2.2;1.5;0.466666667
Reykjavik;ISL;Outdoor;Outdoor;0.929;2620;225;High;Dec;0.8;0.5;0.5
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Jan;4;2;0.4
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Feb;4.3;3;0.333333333
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Mar;5.6;4;0.333333333
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Apr;7.6;5;0.3
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;May;10.3;6.5;0.333333333
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Jun;13.1;5.5;0.333333333
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Jul;14.8;5.5;0.366666667
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Aug;14.7;5;0.333333333
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Sep;12.6;4.5;0.333333333
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Oct;9.4;3;0.4
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Nov;6.2;2.5;0.4
Edinburgh;UK;Outdoor;Sightseeing;0.493;1250;135;Medium;Dec;3.9;1.2;0.4
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Jan;-1;1.5;0.233333333
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Feb;0.3;2.5;0.2
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Mar;4.1;4;0.2
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Apr;8.9;5.5;0.233333333
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;May;13.1;7;0.333333333
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Jun;16.5;7.5;0.333333333
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Jul;18.7;7.5;0.3
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Aug;18.5;7;0.3
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Sep;12.9;5.5;0.233333333
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Oct;8.8;4;0.2
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Nov;3.7;2;0.233333333
Prag;CZ;Party;Sightseeing;0.3;530;80;Low;Dec;0.2;1.5;0.233333333
Rimini;IT;Party;Beach;0.29;480;70;Medium;Jan;4.7;2;0.2
Rimini;IT;Party;Beach;0.29;480;70;Medium;Feb;5.6;3.5;0.2
Rimini;IT;Party;Beach;0.29;480;70;Medium;Mar;8.9;5;0.2
Rimini;IT;Party;Beach;0.29;480;70;Medium;Apr;12.4;5.5;0.233333333
Rimini;IT;Party;Beach;0.29;480;70;Medium;May;17.2;7;0.233333333
Rimini;IT;Party;Beach;0.29;480;70;Medium;Jun;21.6;8.5;0.2
Rimini;IT;Party;Beach;0.29;480;70;Medium;Jul;24.2;9.5;0.133333333
Rimini;IT;Party;Beach;0.29;480;70;Medium;Aug;24.1;8.5;0.2
Rimini;IT;Party;Beach;0.29;480;70;Medium;Sep;19.9;7;0.233333333
Rimini;IT;Party;Beach;0.29;480;70;Medium;Oct;15.5;5.5;0.266666667
Rimini;IT;Party;Beach;0.29;480;70;Medium;Nov;10.5;3;0.233333333
Rimini;IT;Party;Beach;0.29;480;70;Medium;Dec;5.6;2.5;0.233333333
Ibiza;SP;Party;Beach;0.46;1100;125;High;Jan;11.8;5;0.2
Ibiza;SP;Party;Beach;0.46;1100;125;High;Feb;11.9;6;0.166666667
Ibiza;SP;Party;Beach;0.46;1100;125;High;Mar;13.6;7;0.2
Ibiza;SP;Party;Beach;0.46;1100;125;High;Apr;15.8;8;0.2
Ibiza;SP;Party;Beach;0.46;1100;125;High;May;18.8;9;0.166666667
Ibiza;SP;Party;Beach;0.46;1100;125;High;Jun;22.8;10;0.1
Ibiza;SP;Party;Beach;0.46;1100;125;High;Jul;25.6;11;0.033333333
Ibiza;SP;Party;Beach;0.46;1100;125;High;Aug;26.4;10;0.1
Ibiza;SP;Party;Beach;0.46;1100;125;High;Sep;23.7;8;0.133333333
Ibiza;SP;Party;Beach;0.46;1100;125;High;Oct;20.2;6.5;0.166666667
Ibiza;SP;Party;Beach;0.46;1100;125;High;Nov;15.8;5;0.2
Ibiza;SP;Party;Beach;0.46;1100;125;High;Dec;12.9;5;0.2
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Jan;12.4;4;0.333333333
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Feb;12.4;4.5;0.266666667
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Mar;13.8;6;0.2
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Apr;16.3;8;0.1
Crete;GR;Beach;Beach;0.704;1919;180;Medium;May;19.8;9.5;0.066666667
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Jun;23.6;12;0
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Jul;26;12;0
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Aug;26.2;11;0
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Sep;23.8;9;0.066666667
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Oct;20.8;6.5;0.133333333
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Nov;17.3;5;0.2
Crete;GR;Beach;Beach;0.704;1919;180;Medium;Dec;14.1;3.5;0.333333333
Split;HR;Beach;Party;0.36;751;100;Low;Jan;8.3;4.5;0.266666667
Split;HR;Beach;Party;0.36;751;100;Low;Feb;8.6;5.5;0.266666667
Split;HR;Beach;Party;0.36;751;100;Low;Mar;11.4;6;0.233333333
Split;HR;Beach;Party;0.36;751;100;Low;Apr;15;7.5;0.266666667
Split;HR;Beach;Party;0.36;751;100;Low;May;19.9;9;0.2
Split;HR;Beach;Party;0.36;751;100;Low;Jun;24.1;10.5;0.166666667
Split;HR;Beach;Party;0.36;751;100;Low;Jul;16.9;11.5;0.1
Split;HR;Beach;Party;0.36;751;100;Low;Aug;26.9;11;0.1
Split;HR;Beach;Party;0.36;751;100;Low;Sep;21.8;8;0.2
Split;HR;Beach;Party;0.36;751;100;Low;Oct;17.6;6.5;0.233333333
Split;HR;Beach;Party;0.36;751;100;Low;Nov;13.1;4.5;0.333333333
Split;HR;Beach;Party;0.36;751;100;Low;Dec;8.4;4;0.3
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Jan;-0.6;2.5;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Feb;1.2;3.5;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Mar;5.6;5;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Apr;11.1;7;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;May;15.7;8.5;0.266666667
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Jun;19.5;9;0.233333333
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Jul;21.4;9.5;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Aug;21.3;9;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Sep;16.2;6.5;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Oct;10.7;5;0.2
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Nov;5.4;3;0.233333333
Budapest;HU;Party;Sightseeing;0.38;790;100;Low;Dec;0.3;2;0.233333333
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Jan;-1.6;1.5;0.3
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Feb;0;2.5;0.266666667
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Mar;3.8;3;0.3
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Apr;9.4;4.5;0.266666667
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;May;14.2;6.5;0.333333333
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Jun;17.7;6.5;0.3
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Jul;19.6;7;0.366666667
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Aug;19.2;6.5;0.266666667
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Sep;14.4;4;0.3
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Oct;9.4;3;0.266666667
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Nov;4.1;1.5;0.3
Krakow;PL;Party;Sightseeing;0.39;890;100;Low;Dec;-0.3;1;0.266666667
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Jan;-1.8;3.5;0.333333333
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Feb;-0.2;4.5;0.266666667
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Mar;3.9;5.5;0.333333333
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Apr;7.4;5.5;0.333333333
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;May;11.8;6.5;0.466666667
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Jun;15.1;7.5;0.433333333
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Jul;16.8;8;0.4
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Aug;16.4;7.5;0.4
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Sep;12.8;6;0.333333333
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Oct;9;4.5;0.333333333
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Nov;3.4;3;0.333333333
Chamonix;FR;Outdoor;Sightseeing;0.22;200;120;Medium;Dec;-1.1;3;0.366666667
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Jan;7.1;4;0.333333333
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Feb;8.3;4.5;0.333333333
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Mar;11.3;5.5;0.366666667
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Apr;14.6;6.5;0.333333333
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;May;18.7;8.5;0.3
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Jun;23;10;0.166666667
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Jul;25.3;11.5;0.133333333
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Aug;25.5;10.5;0.1
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Sep;21.6;9;0.166666667
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Oct;17.1;7;0.233333333
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Nov;12.6;4;0.4
Tirana;AL;Outdoor;Beach;0.46;1120;120;Low;Dec;8.6;3;0.4
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Jan;11.8;4.5;0.333333333
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Feb;12.7;5.5;0.266666667
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Mar;14.8;6.5;0.266666667
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Apr;16.2;8;0.266666667
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;May;18.5;9.5;0.166666667
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Jun;21.3;10;0.066666667
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Jul;23.1;11.5;0.033333333
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Aug;23.6;11;0.033333333
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Sep;22;8.5;0.133333333
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Oct;19;7;0.3
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Nov;14.9;5;0.333333333
Lisbon;PT;Sightseeing;Beach;0.64;1720;170;Medium;Dec;12.4;4.5;0.333333333
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Jan;7.7;4.5;0.233333333
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Feb;8.4;5.5;0.266666667
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Mar;10.9;6;0.233333333
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Apr;13.8;7;0.3
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;May;17.9;9;0.2
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Jun;22.4;10;0.133333333
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Jul;25.2;11;0.066666667
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Aug;25.6;10;0.1
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Sep;21.3;8;0.2
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Oct;17.3;6.5;0.266666667
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Nov;12.7;4.5;0.333333333
Rome;IT;Sightseeing;Sightseeing;0.35;680;90;Medium;Dec;8.7;4;0.3
